PMID,Title,Abstract,Topic
40823603,Connected Insulin Pens and Pen Caps: Expanding Diabetes Technology Access and Adoption.,"With the availability of connected insulin pens and pen caps, the most used insulin delivery method around the world has entered the digital age and enabled data-informed care for a broader population. Data from these devices are revealing gaps in care for people on multiple daily injection insulin therapy. Incorporating connected insulin pens and pen caps can significantly improve diabetes management for the people who use them by supporting precision insulin injection management. Health care providers are encouraged to embrace these capabilities and develop person-centric practice protocols for their use. Doing so will expand access to and adoption of diabetes technology for all individuals on insulin therapy, regardless of how they choose to administer their insulin.",Diabetes Management
40822470,"Lannea edulis lowers blood glucose by modulating absorption, utilization, and pancreatic function in diabetic rats.","Diabetes mellitus affects over 537 million people worldwide. However, its management is compounded by factors such as high cost and perceived side effects associated with conventional antidiabetic drugs. This has prompted a rise in alternative therapies, such as medicinal plants. Lannea edulis (Sond.) Engl. var. edulis, native to sub-Saharan Africa, has been shown to have both antihyperglycemic and antihyperlipidemic properties, although its mode of action remains unclear. This study investigated the mode of action by which L. edulis decreases blood sugar.",Diabetes Management
40820751,The All One Community (A1C) Program Boosts Diabetes Outcomes in Under-Engaged Asian Immigrants Through Culturally Tailored Education and Partner-Supported Enrollment.,"The All One Community (A1C) program addresses chronic disease among immigrant populations, specifically South Asian, Arab, and Rohingya groups in Greater Chicago. The program offers culturally and linguistically tailored type 2 diabetes education, incorporating social support from family or friends. Participants (n=247) provided biometric data at baseline and during community screenings at 3, 6, and 9 months. Of the 199 participants completing at least 10 sessions, 91 had diabetes (HbA1C ≥ 6.5). Significant improvements in blood pressure (p=0.025) and body mass index (BMI, p=0.015) were observed. Diabetic participants with a social support partner experienced greater BMI reductions (p&lt;0.05). Uninsured participants showed more significant improvements in systolic blood pressure (p=0.02) and cholesterol (p=0.04) than those with insurance. The findings suggest that social support and targeted interventions can improve diabetes management in uninsured immigrants at higher health risk.",Diabetes Management
40820703,Optimising cardiac surgery outcomes in people with diabetes: the OCTOPuS pilot feasibility study.,"Surgical outcomes are worse in people with diabetes, in part, because of the effects of hyperglycaemia, obesity and other comorbidities. Two important uncertainties in the management of people with diabetes undergoing major surgery exist: (1) how to improve diabetes management prior to an elective procedure and (2) whether that improved management leads to better post-operative outcomes.",Diabetes Management
40820276,Phytochemical Profiling and Dual In Vitro In Vivo Antidiabetic Assessment of Ethyl Acetate Fraction and Essential Oil From Allium ascalonicum.,"Allium ascalonicum (shallot) is a traditional medicinal plant recognized for its rich phytochemical content and therapeutic potential. This study aimed to evaluate the phytochemical composition, antidiabetic activity, and toxicity profile of the ethyl acetate fraction and essential oil. GC-MS analysis identified 34 compounds in the ethyl acetate fraction, with major constituents including phenol, 2-methoxy-4-vinyl- (17.77%) and 2-cyclohexene-1-one (7.99%), while the essential oil revealed 10 major compounds such as hexadecanoic acid, methyl ester (30.77%), and caryophyllene oxide (10.82%). Phytochemical screening confirmed the presence of flavonoids, alkaloids, tannins, saponins, and terpenoids. Heavy metal analysis indicated acceptable levels, with lead and cobalt undetected. In vitro antidiabetic assays demonstrated potent α-amylase, DPP-4, and PTP-1B inhibitory activity, especially by the essential oil (IC50 = 7.93, 7.74, and 17.86 μg/mL), comparable with standard drugs. Acute toxicity studies revealed no adverse effects up to 2000 mg/kg. In vivo, both the ethyl acetate fraction and essential oil significantly reduced fasting blood glucose (over 40%), improved lipid profiles, and prevented weight loss in streptozotocin-induced diabetic mice. Further studies focusing on molecular targets and signaling pathways are warranted to fully elucidate the therapeutic potential of A. ascalonicum in diabetes management.",Diabetes Management
40820159,"Network pharmacology and metabolomics reveal mathurameha, a Thai traditional Anti-Diabetic formula, enhances glucose metabolism through PI3K-AKT/AMPK/GLUT4 pathway modulation.","Traditional herbal formulations offer promising avenues for diabetes management by targeting multiple molecular pathways. Mathurameha (MT), a polyherbal preparation, has been historically used for its antidiabetic potential. However, its molecular mechanisms remain largely unexplored. FrE exhibited potent α-glucosidase inhibition (IC₅₀ 0.3 µg/mL) and significantly enhanced glucose uptake in L6 myotubes (3.67 ± 0.23-fold) and 3T3-L1 adipocytes (IC₅₀ 6.78 µg/mL). It also stimulated insulin secretion (1.42-fold), comparable to metformin (1.46-fold), and protected INS-1 pancreatic β-cells from H₂O₂-induced apoptosis (30.65 ± 3.54%) through partial caspase-3 inhibition. LC-MS-QTOF analysis identified 73 metabolites, including ellagic acid, kushenol A, gallic acid, arctiin, neoandrographolide, astilbin, paenol, muricatacin, coumarrayin, and zingerone. Network pharmacology and pathway enrichment analyses revealed key targets (GSK3β, GLUT4, PPARG, INSR, AKT2, CASP3, and MMP9) and highlighted the involvement of PI3K-AKT, AMPK, and GLUT4 signaling pathways. Gene expression analysis confirmed the upregulation of GLUT4, AMPK, IRS, PI3K, and AKT genes in L6 myotubes treated with FrE. These findings suggest that MT exerts antidiabetic effects via the PI3K-AKT/AMPK/GLUT4 signaling axis, promoting glucose uptake, insulin secretion, and β-cell protection. Future studies will focus on in vivo validation, standardization of bioactive fractions, and omics-based approaches to establish a well-defined, effective formulation for diabetes management.",Diabetes Management
40819843,Impact of Glucagon-Like Peptide-1 Receptor Agonists on Retained Gastric Contents During Esophagogastroduodenoscopy: A Propensity Score-Matched Study.,"Glucagon-like peptide-1 receptor agonists (GLP-1 RA) are commonly used for diabetes management and are associated with delayed gastric emptying, raising concerns about an increased risk of retained gastric contents (RGC) during esophagogastroduodenoscopy (EGD). While this association has been investigated in Western populations, limited data are available for Asian populations.",Diabetes Management
40818112,The Diabetes Attitudes Wishes and Needs (DAWN)-SMI study: A cross sectional comparison of the psychosocial impact of diabetes in adults with and without severe mental illness.,People with severe mental illness (SMI) are 2-3 times more likely to have diabetes than the general population. Little is known about the impact of living with diabetes for people with SMI. This study investigates psychosocial problems and diabetes self management for people with SMI and diabetes.,Diabetes Management
40817932,Perceived blood glucose regulation after menopause: a cross-sectional survey in women with type 1 diabetes in the Netherlands.,"Women with type 1 diabetes experience changes in insulin requirements in pregnancy and throughout the menstrual cycle. It remains to be explored whether women with type 1 diabetes perceive changes in glucose regulation during and after the menopausal transition, another period of marked hormonal change in a woman's life.",Diabetes Management
40817790,"Chores Participation, Self-Efficacy, and Transition Readiness in Youths With Diabetes: Preliminary Results.","This study investigated the relationship of chores participation, diabetes management self-efficacy and transition readiness among adolescents with diabetes. Fifty-four youths participated (average age 13.5 years). The CHORES survey evaluated chore participation, the STARx questionnaire assessed health care transition readiness, and the Perceived Diabetes Self-Management Scale (PDSMS) assessed self-efficacy. Results showed that involvement in chores was positively correlated with transition readiness scores (r = .404, p < .05) and important subdomains of transition, namely self-management and provider communication. Mediation analysis found that self-efficacy significantly influenced the link between chores and transition readiness. This suggests that when adolescents assume more household responsibilities, they may develop greater confidence in managing their diabetes, which in turn enhances their readiness for the health care transition. Encouraging chores participation can improve transition readiness directly and indirectly, through self-efficacy. Understanding these mechanisms is key in designing patient education programs, or psychosocial interventions to support transition. Implications for health care providers and parents are discussed.",Diabetes Management
40816406,Silk fibroin hollow microneedle system for sustained transdermal administration of liraglutide: development and characterization.,"Liraglutide demonstrates a glucose-dependent hypoglycemic mechanism with significant therapeutic potential for type 2 diabetes mellitus. This study developed a hollow microneedle system featuring dual drug loading mechanisms cavity encapsulated and matrix embedded to achieve sustained release of liraglutide. The cavity structure avoids direct contact between the drug and the silk fibroin shell, as well as the binding state transition caused by hydrophobic interactions. The shell has piercing mechanical properties and provides swelling diffusion channels. The pharmacokinetic data in SD rats showed that the release time of hollow microneedles was 25 h, the peak concentration time was 10 h, and the relative bioavailability exceeded 80 %. The peak concentration is 19.83 ± 1.85 μg/mL, indicating a smaller diffusion flux. It helps to achieve controlled long-term release and reduce the frequency of administration. The release amount of a single microneedle is 0.3 mg, and two patches per day can meet the demand. This hollow microneedle design establishes a promising platform for transdermal delivery of biopharmaceuticals, potentially enabling non-invasive glucose regulation in diabetes management.",Diabetes Management
40816089,Identification and characterization of novel α-glucosidase inhibitory peptides from sweet potato protein through heating combined with high hydrostatic pressure-assisted enzymatic hydrolysis.,"Sweet potato, the fifth largest food crop in China, is widely utilized for starch production. This study aimed to prepare and identify α-glucosidase inhibitory peptides from sweet potato protein and evaluate their stability, inhibitory kinetics and in vivo effects. The results indicated that alcalase was the optimal protease, the combination of heating and high hydrostatic pressure was the most effective pretreatment, and the optimal enzymatic conditions were determined. Peptide fractions with molecular weights <3 kDa exhibited superior α-glucosidase inhibitory activity and good stability. Three novel peptides (QAGPDPW, WESGPW, GTPPPPPPPPKE) with high α-glucosidase inhibitory efficiency (IC50 = 1.58, 4.14, and 3.24 mg/mL) were identified by liquid chromatography-tandem mass spectrometry, molecular docking and in vitro activity validation. Animal experiments showed that SPP-1 and the three novel peptides effectively delayed postprandial blood glucose levels. These findings provide a scientific basis for the application of sweet potato peptides as potential functional ingredients in diabetes management.",Diabetes Management
40814615,Kidney Disease: Improving Global Outcomes Summit Recommendations on Implementation of Diabetes Management in CKD: From Primary to Data-Driven Collaborative Care.,"Type 2 diabetes and chronic kidney disease (CKD) are preventable and treatable. Their silent and progressive clinical course calls for structured assessment with timely feedback to patients and care providers for activating decision-making. Apart from CKD, patients with diabetes can have complications affecting multiple organs, notably the cardiovascular system, eyes, and feet. International practice guidelines recommend annual assessment of the eyes, feet, blood, and urine to detect silent complications and measure cardiovascular-kidney-metabolic (CKM) risk factors to ensure early intervention, including treatment to multiple targets and use of organ-protective drugs. In this report, we highlight the barriers and gaps in the implementation of practice guidelines in managing diabetes in CKD with proposed solutions to overcome such barriers. By improving the practice environment and workflow, nurses can be trained to perform protocol-guided evaluation under medical supervision. The systematic data collection enables physicians to make timely decisions, including drug prescriptions and referrals to other specialists to promote collaborative care, whereas nurses can use the personalized data to empower patient self-management and improve health literacy. This ongoing data collection will form a register to align payers, providers, and patients in delivering data-driven and value-based care with the creation of real-world evidence to verify treatment effectiveness and identify care gaps while providing on-the-job training. When accompanied by a biobank, the ongoing collection and analysis of this multidimensional data will refine diagnosis, classification, prognosis, and treatment in pursuit of precision medicine.",Diabetes Management
40814224,CGM Data Analysis 2.0: Functional Data Pattern Recognition and Artificial Intelligence Applications.,"New methods of continuous glucose monitoring (CGM) data analysis are emerging that are valuable for interpreting CGM patterns and underlying metabolic physiology. These new methods use functional data analysis and artificial intelligence (AI), including machine learning (ML). Compared to traditional metrics for evaluating CGM tracing results (CGM Data Analysis 1.0), these new methods, which we refer to as CGM Data Analysis 2.0, can provide a more detailed understanding of glucose fluctuations and trends and enable more personalized and effective diabetes management strategies once translated into practical clinical solutions.",Diabetes Management
40814048,Differences in the relationship between medication adherence and payer medical costs across three quality measures: results of a cohort study among medicare advantage beneficiaries.,"There is considerable evidence that medication non-adherence is associated with higher healthcare costs. Payers and providers often target adherence quality measures for intervention, but the impact may depend on the medication. This study sought to assess differences in the relationship between medication adherence and medical (i.e., non-pharmacy) costs across three quality measures in a Medicare Advantage sample.",Diabetes Management
40814029,"HPLC, GC-MS, XRD profiling, enzyme inhibition and cytotoxicity potential of Phlomis Stewartii extracts using response surface methodology.","The mechanical extraction of various phytochemicals from Phlomis stewartii (P. stewartii) was modeled using response surface methodology (RSM). The Box-Behnken design (BBD) was used to optimize the three independent variables comprising of 17 experimental runs, with the experiments randomly arranged to minimize the effects of unexpected variation in the observed dependent variables {extraction yield, total phenolic content (TPC), and total flavonoid content (TFC)} due to systematic errors. The speed (X1, 100, 150 and 200 rpm), solvent volume (X2, 100 and 150 and 200 mL), and extraction time (X3, 2, 5 and 100 h) at 3-levels (high and low coded levels) were used to evaluate BBD of RSM. Results showed that the maximum value of yield, TPC and TFC in leaves ethanol extracts (LEE); flower ethanol extract (FEE), and whole plant ethanol extracts (WPEE) were observed at the following extraction conditions: A X1 of 150 rpm, X2 of 200 mL and X3 at 8 h. The minimum values were observed at an X1 of 150 rpm, X2 of 100 mL and X3 of 2 h. Analysis of variance (ANOVA) and the interaction effects of independent factors showed that X2 and X3 significantly positively influenced the response variables. These values closely matched the predicted yield, TPC and TFC. High-performance liquid chromatography (HPLC) analysis reveals that hydroxybenzoic acid, p-coumaric acid, gallic acid, chlorogenic acid, and salicylic acid, are the major secondary metabolites in the extracts. Gas chromatography-mass spectrometry (GC-MS) analysis showed the presence of different compounds such as thiazole, 2-ethylacridine, silicic acid, arsenous acid, 3,5-ethanoquinolin-10-one, and hexahydropyridine. All these identified compounds exhibit a wide range of various biological potential, including anti-viral, anti-inflammatory, anti-diabetic and anti-bacterial activities. The highest α-amylase inhibitory potential IC50 (53.33 ± 0.21 µg/mL), and α-glucosidase inhibitory potential IC50 (51.07 ± 0.17 µg/mL) were shown by LEE extracts. The study concludes that LEE extracts may have anti-inflammatory, immunomodulatory, antioxidant, hepatoprotective, and nephroprotective potential, suggesting potential for further investigation in diabetes management.",Diabetes Management
40813549,Correction: Enhancing Diabetes Management Through Personality Assessment: A Pilot Study.,,Diabetes Management
40813129,"Cardiovascular, kidney related, and weight loss effects of therapeutics for type 2 diabetes: a living clinical practice guideline.",What are the benefits and harms of medications for adults with type 2 diabetes at varied risks of cardiovascular and kidney related complications?,Diabetes Management
40811820,Glucagon-Like Peptide-1 Receptor Agonists in Gynecologic Surgery.,"Glucagon-like peptide-1 receptor agonists (GLP-1 RAs) have rapidly expanded beyond their initial role in diabetes management to become prominent agents for weight loss and metabolic optimization. A growing number of patients receiving these therapies are presenting for gynecologic surgery. This narrative review summarizes current evidence on GLP-1 RAs, including their mechanisms of action, clinical benefits, and perioperative considerations, with particular attention to their effects on gastric emptying and the associated risk of aspiration. Early recommendations advised routine discontinuation of GLP-1 RAs before surgery because of theoretical concerns about delayed gastric emptying. However, recent multisociety guidance supports continued use for most patients, with individualized risk assessment and perioperative strategies such as preoperative liquid diets for those at higher risk. These evolving recommendations reflect a shift toward balancing the metabolic and weight loss benefits of GLP-1 RAs with perioperative safety considerations. As clinical experience with these agents grows, ongoing research and multidisciplinary collaboration remain essential to ensure optimal outcomes for patients undergoing gynecologic surgery.",Diabetes Management
40811294,Privacy Preserved Blood Glucose Level Cross-Prediction: An Asynchronous Decentralized Federated Learning Approach.,"Newly diagnosed Type 1 Diabetes (T1D) patients often struggle to obtain effective Blood Glucose (BG) prediction models due to the lack of sufficient BG data from Continuous Glucose Monitoring (CGM), presenting a significant ""cold start"" problem in patient care. Utilizing population models to address this challenge is a potential solution, but collecting patient data for training population models in a privacy-conscious manner is challenging, especially given that such data is often stored on personal devices. Considering the privacy protection and addressing the ""cold start"" problem in diabetes care, we propose ""GluADFL"", blood Glucose prediction by Asynchronous Decentralized Federated Learning. We compared GluADFL with eight baseline methods using four distinct T1D datasets, comprising 298 participants, which demonstrated its superior performance in accurately predicting BG levels for cross-patient analysis. Furthermore, patients' data might be stored and shared across various communication networks in GluADFL, ranging from highly interconnected (e.g., random, performs the best among others) to more structured topologies (e.g., cluster and ring), suitable for various social networks. The asynchronous training framework supports flexible participation. By adjusting the ratios of inactive participants, we found it remains stable if less than 70% are inactive. Our results confirm that GluADFL offers a practical, privacy-preserved solution for BG prediction in T1D, significantly enhancing the quality of diabetes management.",Diabetes Management
40810199,Identification of gut microbiome signatures and metabolites associated with albuminuria in type 2 diabetes.,"Type 2 diabetes is a growing global concern with serious complications, including kidney damage and cardiovascular morbidity and mortality. Monitoring albuminuria, which is associated with these complications, is crucial in optimal diabetes management. Gut microbiota composition has been suggested to impact albuminuria, but large studies with granular data are lacking.",Diabetes Management
40810194,Emerging nanotechnology-based therapies in the treatment of diabetes: recent developments and future opinion.,"The advent of nanotechnology has transformed drug development, providing innovative solutions for designing and administering therapeutic agents with improved accuracy and efficacy in managing diabetes. This review aims to critically analyse the progress, mechanisms, and therapeutic uses of nanotechnology-based treatments against the diseases.",Diabetes Management
40809928,Gut-liver axis in diabetes: Mechanisms and therapeutic opportunities.,"The gut-liver axis represents a complex, bidirectional communication network between the gastrointestinal tract and the liver, playing a central role in maintaining metabolic homeostasis. In diabetes, disruption of this axis, mediated by gut microbiota dysbiosis, impaired intestinal barrier function, and pro-inflammatory signaling, contributes significantly to insulin resistance, hepatic steatosis, and systemic metabolic dysfunction. This review explores the underlying mechanisms by which microbial alterations, increased gut permeability, and inflammatory pathways influence hepatic insulin resistance and glucose metabolism. In addition to established mechanisms, emerging pathways involving neuroendocrine circuits, microbial metabolites, and immune mediators are discussed, offering deeper insight into gut-liver interactions in metabolic disease. The review also outlines therapeutic strategies targeting the gut-liver axis, including microbiota modulation, barrier function enhancement, and anti-inflammatory interventions, emphasizing their potential in advancing diabetes management. A conceptual framework is proposed to integrate these components into a precision medicine approach for metabolic regulation. Key challenges in clinical translation, including patient heterogeneity and the absence of reliable biomarkers to guide treatment decisions are also discussed to inform future research. By linking mechanistic understanding with therapeutic innovation, the review highlights the gut-liver axis as a promising target for personalized diabetes care.",Diabetes Management
40808224,Continuous glucose monitoring remote monitoring does not meet the needs of all adult users: A qualitative study of adults with type 1 diabetes who do not use remote monitoring.,"Continuous glucose monitoring (CGM) is increasingly popular in the management of type 1 diabetes (T1D). These devices have a remote monitoring function that allows for a third-party individual to monitor the user's glucose levels. While remote monitoring in CGM devices is widely used in T1D management, especially in paediatric populations, there are some individuals with T1D that do not utilise this function. This study aimed to explore the reasons behind some adults not using the remote following function on their real-time CGM (rtCGM) devices.",Diabetes Management
40807540,Enhancement of Phytochemicals and Antioxidant Activity of Thai Fermented Soybean Using Box-Behnken Design Guided Microwave-Assisted Extraction.,"Thai fermented soybeans (TFSs) contain phytochemicals with anti-diabetic benefits. In this study, an initial non-optimized TFS extract (TFSE) was prepared using a conventional triplicate 80% ethanol extraction method and evaluated for its biological activity. TFSE effectively reversed TNF-α-induced insulin resistance in 3T3-L1 adipocytes by enhancing insulin-stimulated glucose uptake, indicating anti-diabetic potential. TFSE also upregulated the phosphorylation of AKT (a key insulin signaling mediator) and the expression of adipogenic proteins (PPARγ, CEBPα) in TNF-α-exposed 3T3-L1, suggesting the mitigation of adipocyte dysfunction; however, the results did not reach statistical significance. The conventional extraction process was labor-intensive and time-consuming, and to enhance extraction efficiency and bioactivity, the process was subsequently optimized using environmentally friendly microwave-assisted extraction (MAE) in combination with the Box-Behnken design (BBD) and response surface methodology (RSM). The optimized extract (O-TFSE) was obtained over a significantly shorter extraction time and exhibited higher levels of total flavonoids and antioxidant activity in comparison to TFSE, while showing reduced levels of isoflavones (daidzein, genistein, and glycitein) in relation to TFSE. Interestingly, O-TFSE retained similar efficacy in reversing TNF-α-induced insulin resistance and demonstrated significantly stronger α-glucosidase and α-amylase inhibitory activities, indicating its enhanced potential for diabetes management. These results support the use of MAE as an efficient method for extracting functional compounds from TFS for functional foods targeting insulin resistance and type 2 diabetes mellitus.",Diabetes Management
40807234,One-Pot Synthesis of Phenylboronic Acid-Based Microgels for Tunable Gate of Glucose-Responsive Insulin Release at Physiological pH.,"Glucose-responsive insulin delivery systems that effectively regulate insulin retention and release in response to real-time fluctuation of glucose levels are highly desirable for diabetes care with minimized risk of hypoglycemia. Herein, we report a class of glucose-sensitive copolymer microgels, prepared from a simple one-pot precipitation copolymerization of 4-vinylphenylboronic acid (VPBA), 2-(dimethylamino) ethyl acrylate (DMAEA), and oligo(ethylene glycol) methyl ether methacrylate (Mw = 300, MEO5MA), for gated glucose-responsive insulin release within the physiologically desirable glucose level range. The composition of the p(VPBA-DMAEA-MEO5MA) copolymer microgels were analyzed using NMR and FTIR spectra. The cis-diols of glucose can reversibly bind with the -B(OH)2 groups of the VPBA component in the microgels, resulting in the formation of negatively charged boronate esters that induce the volume phase transition of the microgels. The DMAEA component is incorporated to reduce the pKa of VPBA, thus improving the glucose sensitivity of the microgels at physiological pH. The neutral hydrophilic MEO5MA component is used to tune the onset of the glucose responsiveness of the microgels to the physiologically desirable levels. The more the MEO5MA component copolymerized in the microgels, the greater the glucose concentration required to initiate the swelling of the microgels to trigger the release of insulin. When the onset of the glucose response was tuned to 4-5 mM, the copolymer microgels retained insulin effectively in the hypo-/normo-glycemic range but also released insulin efficiently in response to the elevation of glucose levels in the hyperglycemic range, which is essential for diabetes management. The copolymer microgels display no cytotoxicity in vitro.",Diabetes Management
40806442,Time-Restricted Eating Improves Glycemic Control in Patients with Type 2 Diabetes: A Meta-Analysis and Systematic Review.,"Time-restricted eating (TRE), a dietary strategy that aligns food intake with circadian rhythms, has emerged as a promising non-pharmacological approach for improving glycemic control in patients with type 2 diabetes. This systematic review and meta-analysis evaluated the effects of TRE on glycemic outcomes by analyzing eight randomized controlled trials involving 312 participants with type 2 diabetes or impaired fasting glucose. Meta-analyses of six eligible studies demonstrated that TRE significantly reduced fasting glucose (mean difference [MD]: -0.74 mmol/L; 95% CI: -1.13 to -0.36) and glycated hemoglobin (ΔHbA1c) (MD: -0.11%; 95% CI: -0.15 to -0.07) and increased time in range (TIR) for blood glucose (MD: +10.51%; 95% CI: 6.81 to 14.21). Improvements in fasting glucose and HbA1c were modest but consistent, while the increase in TIR showed no between-study heterogeneity, suggesting a robust and reproducible benefit of TRE on glycemic stability. These findings support the clinical feasibility and effectiveness of TRE as a dietary intervention in diabetes management. However, further high-quality trials with standardized protocols and longer follow-up are needed to confirm long-term efficacy and inform guidelines.",Diabetes Management
40802020,Clinical Use of Once-Weekly Insulin Icodec: Translating Clinical Trial Data into Practical Guidance for Diabetes Management.,"Insulin icodec (icodec) is a first-in-class once-weekly basal insulin approved for the treatment of adults with type 1 diabetes (T1D) and type 2 diabetes (T2D). Healthcare professionals (HCPs) may benefit from clear and practical guidance on translating the use of icodec from a controlled clinical trial setting into real-world clinical practice to ensure its appropriate implementation. Here, we primarily review the available evidence for icodec in T2D to provide evidence-based clinical recommendations and expert opinions to guide the use of icodec in a clinical setting. The pharmacology of icodec is summarized, along with an overview of the results from the ONWARDS 1-6 clinical trials (NCT04460885, NCT04770532, NCT04795531, NCT04880850, NCT04760626, NCT04848480). Key guidance on the practical use of icodec, including treatment initiation, switching to icodec from a once- or twice-daily basal insulin, switching from icodec back to a daily basal insulin, and dose titration, is provided. Icodec usage in special populations and practical situations (e.g., elderly and pediatric individuals, hepatic and renal impairment, hospitalized individuals, and those who are pregnant or planning pregnancy) is discussed. Considerations for glucose monitoring and management, as well as co-administration of icodec with other non-insulin glucose-lowering medications, are provided. Finally, we also briefly summarize the available evidence on icodec use in individuals with T1D, although the primary focus of this review is on its use in T2D. This review provides a comprehensive information resource for HCPs regarding the use of icodec in clinical practice.",Diabetes Management
40799982,"Dietary Nonadherence and Its Determinants Among Diabetes Mellitus Patients in Comprehensive Specialized Hospitals, Amhara Region, Ethiopia: A Cross-Sectional Study.","Dietary nonadherence remains a significant challenge in diabetes management, compromising glycemic control and increasing the risk of complications. In Ethiopia, particularly in the Amhara region, adherence to dietary recommendations is influenced by cultural, economic, and educational factors. Despite the critical role of diet in diabetes management, there is limited evidence regarding dietary nonadherence and its determinants in this setting. This study assessed the prevalence and factors associated with dietary nonadherence among diabetes patients attending follow-up care in the Amhara region comprehensive specialized hospitals of Ethiopia.",Diabetes Management
40799855,"Outcome of Follow-Up Care Frequency on the Glycemic Control of Diabetic Patients in Qassim, Saudi Arabia.","Aims The aim of this study was to investigate the outcome of follow-up care frequencies on the glycemic control of diabetic patients in Qassim, Saudi Arabia. Methods A retrospective review of the electronic medical records of diabetic patients registered during the period August 2022 to July 2024 at King Fahad Specialist Hospital (KFSH) in Qassim was conducted. The association between follow-up care and various metabolic outcomes was determined by applying the chi-square test and Fisher's exact test. SPSS software version 22.0 (IBM Corp., Armonk, NY, US) was used for data analysis. Results The study included 286 patients with diabetes; 75.2% of them had glycemic control issues (HbA1c ≥ 7%), 56.3% of patients saw a doctor just once during the study period, and only 11.9% of patients received routine follow-up. Glycemic control and follow-up frequency were found to be significantly associated (χ² = 15.892, p < 0.001), with patients who received regular follow-up showing better results. Furthermore, poor glycemic control was significantly associated with low high-density lipoprotein (HDL) cholesterol (p = 0.015), but no significant associations were found with other lipid parameters. Conclusions In diabetic patients, better glycemic control has a direct relationship with regular follow-up care. These results emphasize the importance of organized, ongoing care in maximizing diabetes management as well as the inclusion of follow-up frequency into regular clinical practice.",Diabetes Management
40797440,Prevalence and determinants of hypomagnesemia in type 2 diabetes mellitus: A retrospective cross-sectional study from a resource-limited setting.,"Hypomagnesemia is a common comorbidity in patients with type 2 diabetes mellitus (T2DM), adversely affecting metabolic control and increasing cardiovascular risk. This study aimed to determine prevalence and independent predictors of hypomagnesemia among Yemeni adults with T2DM. A retrospective analysis was conducted among 487 adults with T2DM attending Al-Raffa Center in Ibb, Yemen, from 2018 to 2023. Demographic, clinical, and biochemical parameters-including serum magnesium (Mg), HbA1c, and lipid profiles-were evaluated. Hypomagnesemia was defined as serum Mg < 1.6 mg/dL. Univariate and multivariate logistic regression analyses were used to identify independent predictors. The cohort had a mean age of 48.3 ± 15.3 years, with 63.4% female participants. Hypomagnesemia was present in 37.2% of patients. Poor glycemic control (HbA1c ≥7%) and LDL ≥100 mg/dL were observed in 42.3%, and 42.1%, respectively. In univariate analysis, hypomagnesemia was significantly associated with older age, female sex, obesity (BMI ≥25 kg/m2), hypertension, diabetes duration ≥5 years, poor glycemic control, khat chewing, elevated LDL, low HDL, and hypertriglyceridemia (all P < .05). Multivariate regression identified obesity (adjusted OR [aOR] 9.32, 95% CI 4.97-18.06), HbA1c ≥7% (aOR 2.85, 95% CI 1.80-4.52), female sex (aOR 1.85, 95% CI 1.20-2.85), hypertension (aOR 1.58, 95% CI 1.02-2.45), diabetes duration ≥5 years (aOR 1.90, 95% CI 1.20-3.00), and LDL ≥100 mg/dL (aOR 1.60, 95% CI 1.02-2.50) as independent predictors. A significant interaction was observed between obesity and poor glycemic control (aOR 3.25, P < .001). The final model demonstrated excellent discrimination (AUC-ROC = 0.86). Hypomagnesemia is highly prevalent among Yemeni adults with T2DM and is independently associated with female sex, obesity, poor glycemic control, hypertension, longer diabetes duration, and elevated LDL. The synergistic effect of obesity and poor glycemic control identifies a particularly high-risk subgroup. Routine assessment of serum Mg should be considered in diabetes management, especially for women and individuals with coexisting obesity and hyperglycemia in resource-limited settings.",Diabetes Management
40796059,Musculoskeletal Manifestations of Diabetes Mellitus - an update.,"Diabetes mellitus is an increasingly prevalent condition with an estimated 1.3 billion people projected to be affected by 2050 and can reduce life expectancy by up to 20 years. Musculoskeletal complications are present in more than half of patients with diabetes and lead to significant morbidity and disability. Diabetes increases chronic inflammation, reduces anabolism and compromises blood supply to bones, muscles and joints. This can cause fibrosis of tendons and joints, impaired quality of bone and muscle production and in some instances local joint destruction. The risk is further increased in patients with overlapping with metabolic syndrome. Musculoskeletal complications promote a sedentary lifestyle and worsen the trajectory of diabetes management. Here, we provide an update on the musculoskeletal manifestations of diabetes and their treatments since our review in 2015.",Diabetes Management
40787503,Non-adherence to anti diabetic medication and associated factors in Nepal: a systematic review and meta-analysis.,"Nepal, being a low resource country, has a high prevalence of diabetes and its related complications. Anti-diabetic medication non-adherence is one of the common reasons for increased prevalence. Multiple factors including poverty, illiteracy, and lack of adequate health facility is the commonest cause of increased prevalence of diabetes. This systematic review and meta-analysis aim to analyze the prevalence of non-adherence to anti-diabetic medications in Nepal.",Diabetes Management
